timeStep pedestrianId velocity-PID3
1 1 0.0
2 1 0.5566730362170751
3 1 1.4388320578604286
4 1 2.0542932286827447
5 1 2.4836858901490055
6 1 2.783262994468555
7 1 2.9922708945025036
8 1 3.138090726431868
9 1 3.2398256708731457
10 1 3.3107926406237445
11 1 2.0851413545970052
12 1 2.7084669303761215
13 1 3.192203846842852
14 1 2.930736248554579
15 1 3.1872911480577666
16 1 3.3535247409773823
17 1 3.390129158227133
18 1 3.4156667597304162
19 1 3.3973471003253626
20 1 2.371808872499249
21 1 1.8377647582276624
22 1 3.071725131767581
23 1 3.196863141774251
24 1 3.2780509293391638
24 2 0.0
25 1 3.339247822198415
25 2 0.7322399491526015
26 1 3.426910078705282
26 2 1.0454561336252226
27 1 3.40047943840869
27 2 1.2639796501126344
28 1 3.4288073363058107
28 2 1.4164383341878826
29 1 3.2074927149590344
29 2 1.5228051487072976
30 1 3.3858559263528956
30 2 1.59701475663948
31 1 3.455279033207981
31 2 1.6487890820956612
32 1 3.46112058420969
32 2 1.684910834184888
33 1 3.465195807720354
33 2 1.7101119530915312
34 1 3.31241671786774
34 2 1.7276942719972952
35 1 2.711860571003411
35 2 1.7399610463192003
36 1 3.078193514501429
36 2 1.7485191728243052
37 1 3.4017305473002124
37 2 1.7544855747414443
38 1 3.4216015296009914
38 2 1.758336244783472
39 1 3.429335381960528
39 2 1.1772537456531054
40 1 3.283015593163497
40 2 0.9654655560228768
41 1 3.4575503898333753
41 2 1.1369364710848167
42 1 3.450384082943547
42 2 1.5313930683752823
43 1 3.365777449863964
43 2 1.6059538657504628
44 1 2.7679916818330437
44 2 1.64752854576143
45 1 3.4204482128921163
45 2 1.5720659040381577
46 1 3.437050166034645
46 2 1.485465202588141
46 3 0.0
47 1 3.445900406009064
47 2 1.5551858675810117
47 3 1.4819366499040934
48 1 3.456153631555209
48 2 1.7202194507533153
48 3 2.11583636518998
49 1 3.3289317292985046
49 2 1.7348250594376835
49 3 2.5580926926320218
50 1 3.3047018702341204
50 2 1.7449360291021638
50 3 2.8666447395698222
51 1 3.2823123127550025
51 2 1.7519902123866649
51 3 3.081914155383657
52 1 3.275402494692426
52 2 1.7569117481558574
52 3 3.2321020761821004
53 1 3.1599696972446547
53 2 1.7603453851764224
53 3 3.3368281769909465
54 1 3.1530490709138386
54 2 1.7627409476923528
54 3 3.3834708214302083
55 1 3.4406389026224917
55 2 1.7596997390915259
55 3 1.9735884566626418
56 1 3.223616997930117
56 2 1.7513329948469443
56 3 3.0427764726883257
57 1 3.451434781218637
57 2 1.4360812943796541
57 3 3.1723219415239097
58 1 2.705594531432429
58 2 0.7406882521842794
58 3 2.957506463515506
59 1 0.2612075787779223
59 2 0.8509664102271924
59 3 3.427656655579745
60 2 1.194225618854158
60 3 3.4737813760531076
61 2 1.4845135110648988
61 3 3.505499153884777
62 2 1.572322749579267
62 3 3.5269065509266952
63 2 1.631746654177631
63 3 3.349514665628313
64 2 1.673188876212434
64 3 1.7486953344841083
65 2 1.7019339305517511
65 3 2.6722128491536474
66 2 1.7219886694513882
66 3 3.2337487877615967
67 2 1.7359803861987566
67 3 3.338470977657311
68 2 1.7457420736707
68 3 3.405352243593273
68 4 0.0
69 2 1.752552572898961
69 3 2.0912230881073515
69 4 1.2713018632250779
70 2 1.7573039424673533
70 3 1.7001961642830163
70 4 1.815102205215585
71 2 1.7606191571047065
71 3 1.713362179767294
71 4 2.1944987822604447
72 2 1.762939451787876
72 3 1.7357948866330268
72 4 2.4591948165448754
73 2 1.7645453952137213
73 3 1.7415493472217374
73 4 2.6438669648510595
74 2 1.7583012712573
74 3 1.7552124799672029
74 4 2.7727083449566274
75 2 1.6335230606382478
75 3 1.6699426549971061
75 4 2.8625976910631663
76 2 1.6636145184625453
76 3 1.6064815950428473
76 4 2.9253051666876497
77 2 1.752191420473507
77 3 1.6943630016711366
77 4 2.9689453524508376
78 2 1.7635407843228783
78 3 1.8266930838589257
78 4 1.838853659150841
79 2 1.7652600675098034
79 3 1.7819594752732113
79 4 2.285006691992763
80 2 1.7661698148748335
80 3 1.7589797484591212
80 4 2.838007917564625
81 2 1.7668045224302042
81 3 1.761511640493085
81 4 2.642295186838703
82 2 1.7672473417450945
82 3 1.7647608644322976
82 4 2.6923241197318935
83 2 1.7675562678289918
83 3 1.766525109433942
83 4 2.9630570238152347
84 2 1.7677189393811603
84 3 1.7673768372094354
84 4 2.995399638263629
85 2 1.702865485754935
85 3 1.7168974628038651
85 4 3.017964285605565
86 2 1.4988966897480966
86 3 1.5365038194999443
86 4 3.033707189665715
87 2 1.5911939521793856
87 3 1.386038385405469
87 4 3.0051093898932004
88 2 1.589420314324733
88 3 1.590248031782527
88 4 2.4136775330784377
89 2 1.715572114227522
89 3 1.668658835027115
89 4 1.2701867770560358
90 2 1.7379688239965356
90 3 1.9657753038702357
90 4 2.47561797433121
90 5 0.0
91 2 1.7471299370928572
91 3 1.7573924503424312
91 4 2.7723351450700178
91 5 2.225846612253233
92 2 1.753520541739137
92 3 1.7756729709502803
92 4 2.8611485799114376
92 5 3.1779539431320467
93 2 1.7579796680442952
93 3 1.7544737948951694
93 4 2.9236470208859178
93 5 3.84221677541229
94 2 1.761091177668189
94 3 1.75509596083017
94 4 2.9631659022712453
94 5 4.30565724816413
95 2 1.7632625339218873
95 3 1.7577253894630678
95 4 2.9994667683018097
95 5 4.6289881892658284
96 2 1.7645043840055619
96 3 1.7636958399112015
96 4 3.0208225249121665
96 5 3.910165279310525
97 2 1.7600268061812452
97 3 1.7414030800763955
97 4 3.0357986676386326
97 5 3.691908960937162
98 2 1.7662330756403095
98 3 1.7534376855604614
98 4 3.0273846296775653
98 5 4.754724886382574
99 2 1.7668786902683007
99 3 1.8081323806569585
99 4 2.804643756477745
99 5 4.708027840881056
100 2 1.7673179977426743
100 3 1.768928826802269
100 4 3.0346426065221093
100 5 5.123769492400173
101 2 1.7675989246296633
101 3 1.7543948418598436
101 4 3.0516576128544575
101 5 5.198601489556053
