timeStep pedestrianId x-PID4 y-PID4
1 1 1.0602852468482262 93.35716145938224
2 1 1.5612785200024355 93.36069477901377
3 1 2.8562007641856377 93.36899604453227
4 1 4.705038440215432 93.37884439055166
5 1 6.94033805122321 93.38773740821337
6 1 9.44526592955453 93.39438349103179
7 1 12.138306354809156 93.39865008977408
8 1 14.962586887068722 93.40116703459995
9 1 17.87842929746589 93.40317791181532
10 1 20.85813406229057 93.41034180135217
11 1 22.714205313709193 93.68734709771658
12 1 22.85110597424639 91.25355107288513
13 1 22.50768971871541 88.43017513171559
14 1 21.52704131632641 86.01249204564857
15 1 18.73606585231776 85.22892229109529
16 1 15.756470312011462 84.72271077973393
17 1 12.745706280730836 84.2107051578189
18 1 9.713109832115881 83.69516795766526
19 1 6.7102428360144115 83.5286464927964
20 1 4.637196043659179 82.83631657187006
21 1 5.5771015871532015 81.5325070283424
22 1 8.334029670076111 81.45398089589797
23 1 11.20717431288448 81.4551704557828
24 1 14.149763541204699 81.44156058404157
24 2 1.7001432393520703 92.09218448940771
25 1 17.142500331472935 81.4510895875084
25 2 2.357557345500878 92.1381053155434
26 1 20.16284359178295 81.32935029039999
26 2 3.296184424464098 92.2036173064395
27 1 23.22578395739988 81.46134645913739
27 2 4.43100311728083 92.28285510513356
28 1 26.30188070443043 81.45937381083903
28 2 5.702701110673012 92.37165392906643
29 1 29.24237898313755 81.70161683688495
29 2 7.0698969600105706 92.46711743100046
30 1 31.482433747588292 83.60417001115171
30 2 8.503719563255412 92.56722841867813
31 1 33.276496166688204 86.14512638237895
31 2 9.984026109099108 92.6705819011515
32 1 35.07385092186877 88.68992217845454
32 2 11.496763153858215 92.77620145938525
33 1 36.87310686335419 91.23767593413461
33 2 13.032126305701935 92.88339820965776
34 1 38.45777664074875 93.86970326634042
34 2 14.58326956458631 92.99177652872368
35 1 40.68148962555422 94.77912644311182
35 2 16.145409174031915 93.10116590860463
36 1 42.33494364420169 92.54755989199998
36 2 17.71515365081888 93.21221049214383
37 1 42.97014876473229 89.54346773261342
37 2 19.28981133903113 93.32973110266002
38 1 43.657281043621886 86.53587449743728
38 2 20.870501789207538 93.4054211930824
39 1 44.35024034982086 83.52430182741315
39 2 21.795810591873238 93.85899052287017
40 1 45.011296751959435 80.57007186696325
40 2 22.652827564943973 93.70332361182169
41 1 45.02904320449415 77.46753807623708
41 2 23.130510110018204 92.79342713710898
42 1 45.01834448342868 74.36415160623953
42 2 22.894635718631214 91.43138093233588
43 1 45.0034030470618 71.32746928150847
43 2 22.57420237117364 90.01816181963092
44 1 43.19454368392186 69.77009620439094
44 2 22.519635284473168 88.53375843232246
45 1 40.14518193193404 69.85456951135701
45 2 22.265453127343047 87.11505264581258
46 1 37.06880811648836 69.85920747218638
46 2 21.500065294059503 86.0505573851477
46 3 1.2705619929106127 92.84771482053087
47 1 33.98874406432963 69.88289514646071
47 2 20.212242507445072 85.48155246053271
47 3 2.603627988145149 92.89020405471325
48 1 30.920742750495247 70.31540726857152
48 2 18.6920328878679 85.21691395469156
48 3 4.506908935525394 92.95102587338295
49 1 27.834842330895544 70.41303167649205
49 2 17.156217484856274 84.95637085438588
49 3 6.808019769491642 93.02449839136398
50 1 25.217241177878876 71.46811664594112
50 2 15.610356438649509 84.69415803808222
50 3 9.386680015276525 93.10701982599765
51 1 23.024314777607383 73.44639303647011
51 2 14.057501252239952 84.43069502578332
