timeStep VRUID x-position y-position
1 1 1.4882074998645074 4.186170816149339
2 1 1.7808144583234644 4.186170816137647
3 1 2.5867290413635415 4.186170816074844
4 1 3.812904234708737 4.186170815947256
5 1 5.383159724029665 4.186170815803729
6 1 7.235124337755797 4.1861708159447675
7 1 9.31773287838252 4.186170816148403
8 1 11.589176697569092 4.186170816310123
9 1 14.015225768604676 4.186170816086092
10 1 16.567854915495523 4.186170816021394
11 1 19.224119064447756 4.186170815937692
12 1 21.965232377645616 4.186170815677437
13 1 24.775814311738557 4.186170815495145
14 1 27.643272342724586 4.186170815442238
15 1 30.557296583818413 4.186170815436073
16 1 33.50944601354981 4.186170815447646
17 1 36.492809707976704 4.1861708154119395
18 1 39.50172948107508 4.186170815377858
19 1 42.53157280189289 4.186170815367409
20 1 45.57854687483759 4.18617081536656
21 1 48.63954642047274 4.186170815363866
22 1 51.712029055223454 4.186170815362762
23 1 53.48311769195951 4.186170815362012
