timeStep VRUID x-position y-position
2 1 1.4882074998645074 4.186170816149339
3 1 2.0734214167824216 4.186170816125954
4 1 3.9059512489847377 4.186170815960929
5 1 5.366293024083049 4.18617081574121
6 1 7.22131519499694 4.186170815693109
7 1 9.306426904316607 4.186170816670878
8 1 11.579920148405218 4.186170816192666
9 1 14.00764714697478 4.1861708163254185
10 1 16.561650064778426 4.1861708151324715
11 1 19.21903896224788 4.186170816661119
12 1 21.96107314166749 4.1861708156566495
13 1 24.772409017273354 4.1861708150830825
14 1 27.640484323376043 4.18617081564533
15 1 30.555013946601683 4.186170815570141
16 1 33.50757714823474 4.186170815394005
17 1 36.49127961044856 4.1861708154479516
18 1 39.50047674315699 4.186170815263934
19 1 42.530547146820886 4.186170815394308
20 1 45.57770713947808 4.186170815402597
21 1 48.63885890431665 4.186170815361281
22 1 51.71146615936186 4.186170815347883
23 1 54.79345239551488 4.186170815366681
24 1 52.6399352435501 4.1861708153603825
