timeStep VRUID x-position y-position
2 1 1.4882074998645074 4.186170816149339
3 1 2.0734214167824216 4.186170816125954
4 1 3.9059512489847377 4.186170815960929
5 1 5.459340038359052 4.186170815754885
6 1 7.297495509326323 4.186170815644262
7 1 9.368798075887135 4.18617081637037
8 1 11.630985345909837 4.186170816414635
9 1 14.049455795315518 4.186170816429928
10 1 16.59588009148927 4.186170815476309
11 1 19.247064138241633 4.18617081611603
12 1 21.98401821546137 4.186170815834985
13 1 24.791194855089117 4.18617081524063
14 1 27.655864866726578 4.186170815390817
15 1 30.567606470603703 4.1861708155187145
16 1 33.51788703502004 4.186170815476651
17 1 36.49972063191876 4.186170815476954
18 1 39.5073876670991 4.186170815328955
19 1 42.53620533284495 4.186170815345402
20 1 45.582339670430144 4.186170815380591
21 1 48.64265169990917 4.18617081537531
22 1 51.71457143879836 4.1861708153593264
23 1 54.79599477908976 4.186170815363248
24 1 53.95281233068084 4.186170815361619
