timeStep pedestrianId velocity-PID3
1 1 0.0
2 1 0.41449206760094115
3 1 1.1416173680554305
4 1 1.7369370479560011
5 1 2.2243435938415943
6 1 2.623398325673352
7 1 2.950116703732128
8 1 3.2172345647969456
9 1 3.430255165023337
10 1 3.6011670838840666
11 1 3.7255921225926394
12 1 3.826937894847702
13 1 3.8314387968998296
14 1 3.961171851166575
15 1 4.016783543581665
16 1 3.8056685838505353
17 1 4.185563348140693
18 1 4.2554517431533005
19 1 4.2864204708796745
20 1 4.3116842273455145
21 1 4.33236832492299
21 2 0.0
22 1 4.349303032134537
22 2 1.4667604239476988
23 1 4.363167992771539
23 2 2.2316325904192214
24 1 4.3745196626098215
24 2 2.85785698702546
25 1 1.386416805018504
25 2 3.3705660226550402
26 2 3.790336983277496
27 2 4.131865367250898
28 2 4.466787313257962
29 2 4.636636259771159
30 2 4.622720041023165
31 2 4.8673960154559275
32 2 4.797326444277054
33 2 5.283373171534949
34 2 5.306259300127175
35 2 5.365168690686642
36 2 5.423379379136564
37 2 5.471038260220483
38 2 5.510058052096772
39 2 5.541109025945978
40 2 0.404640181281767
41 3 0.0
42 3 1.0823350833702379
43 3 1.646740810017891
44 3 2.108837159579681
45 3 2.487169636697834
46 3 2.7969220616416512
47 3 3.0505259103535325
48 3 3.258159174734665
49 3 3.4281548666152992
50 3 3.567336525996306
51 3 3.6810418117410975
52 3 3.6935183394273365
53 3 3.824742134665528
54 3 3.799822391567294
55 3 3.6672570896689467
56 3 4.031049814423254
57 3 4.03015380675345
58 3 4.061593971075302
59 3 4.085953986929578
60 3 4.1058960560652835
61 3 4.1222232053528325
61 4 0.0
62 3 4.135590745156971
62 4 0.8076683175588791
63 3 4.146535158167421
63 4 1.2288434535487498
64 3 4.1554956858511884
64 4 1.5736724998337734
65 3 1.4729640882790185
65 4 1.855994587834167
66 4 2.0871404845725334
67 4 2.276386678506989
68 4 2.4313283550311344
69 4 2.5559404274369393
70 4 2.6946576103062703
71 4 2.7377549874145695
72 4 2.79333549531261
73 4 2.8557899225421255
74 4 2.867657334151707
75 4 2.8251906348406806
76 4 2.967048722471014
77 4 2.9180299776296987
78 4 2.9433249573494473
79 4 2.7169443169829157
80 4 3.0328315341015677
81 4 3.0550975696042273
81 5 0.0
82 4 3.0819865865448053
82 5 1.3544126356802035
83 4 3.090899014656727
83 5 2.0606987404411465
84 4 3.0981947054494925
84 5 2.638956900831573
85 4 3.1041678818611484
85 5 3.1123947208462264
86 4 3.1090583020283105
86 5 3.5000129333415404
87 4 3.1130622388740625
87 5 3.817367688329554
88 4 3.116340384611108
88 5 4.077195859844584
89 4 3.1190243036617704
89 5 4.289924806932226
90 4 3.121221710744667
90 5 4.408027743813732
91 4 2.9248614085829177
91 5 4.572660833647969
92 5 4.587056117480449
93 5 4.396372041407295
94 5 4.883603221400464
95 5 4.96804009420719
96 5 5.0062914455285625
97 5 5.050604502465236
98 5 5.086884757066656
99 5 5.116588509620488
100 5 5.14090788453766
101 5 2.2485387236827226
101 6 0.0
102 6 1.1766960782127083
103 6 1.7903082654737146
104 6 2.292691435603812
105 6 2.7040080306725303
106 6 3.040765542991762
107 6 3.3164792581110727
108 6 3.5422145751037495
109 6 3.72703158702301
110 6 3.8783474143554133
111 6 3.980293692329369
112 6 3.9547874071789657
113 6 4.079656254525472
114 6 4.101136754281238
115 6 4.021220345283102
116 6 4.319972745043575
117 6 4.386585977137414
118 6 4.4183507745141855
119 6 4.444350781420672
120 6 4.465637711143277
121 6 4.483065967476228
121 7 0.0
122 6 4.497335019946221
122 7 1.7713811382886282
123 6 4.19825611715056
123 7 2.695748914444686
124 7 3.4524645402695895
125 7 4.068625362295871
126 7 4.573394603016626
127 7 4.986732719077488
128 7 5.392627937743603
129 7 5.42867447163412
130 7 5.689815735673583
131 7 5.475464838973692
132 7 6.165312401437725
133 7 6.295827297456928
134 7 6.399901238582716
135 7 6.485109775364376
136 7 6.554872625401479
137 7 4.445881927477752
141 8 0.0
142 8 1.0798178736861925
143 8 1.6429109523807564
144 8 2.103932587125783
145 8 2.4813851780863425
146 8 2.790417254493276
147 8 3.043431357038959
148 8 3.2505819618731837
149 8 3.4201824708036876
150 8 3.5589869273365147
151 8 3.680646235476386
152 8 3.588119142001154
153 8 3.8118016503064704
154 8 3.7984824194785984
155 8 3.6077690326942853
156 8 3.9962269522980303
157 8 4.039754137504357
158 8 4.052543760771198
159 8 4.076774904015865
160 8 4.096611912912856
161 8 4.112853050424016
161 9 0.0
162 8 4.12615017077847
162 9 1.0293332837027476
163 8 4.137036928859025
163 9 1.566100138653818
164 8 4.145950252690723
164 9 2.0055676912148965
165 8 1.3316332415032688
165 9 2.3653732106394667
166 9 2.6599572674320706
167 9 2.901142075090696
168 9 3.098607613250779
169 9 3.2602786616317534
170 9 3.3926435189819646
171 9 3.501015003093914
172 9 3.515071231754145
173 9 3.5563927366239376
174 9 3.631408325206662
175 9 3.69586479838864
176 9 3.4021187084617135
177 9 3.799436253056416
178 9 3.8373312772332744
179 9 3.880227450646571
180 9 3.9002150436091796
181 9 3.916579370092766
181 10 0.0
182 9 3.9299773444754313
182 10 0.9661275232246666
183 9 3.940946674392547
183 10 1.4699344445593312
184 9 3.949927602214302
184 10 1.8824166863371916
185 9 3.9572805640929536
185 10 2.2201285875863443
186 9 1.7234332901271283
186 10 2.4966236312811163
187 10 2.722998756399229
188 10 2.9083389830282886
189 10 3.060082663609728
190 10 3.1843203614565336
191 10 3.2729833558731656
192 10 3.339958868842701
193 10 3.267542910157044
194 10 3.464805669567297
195 10 3.4331164503343876
196 10 3.3438976724872336
197 10 3.4810084401370056
198 10 3.5997846478185993
199 10 3.6463891896828686
200 10 3.664580024477862
201 10 3.6792407453813207
201 11 0.0
202 10 3.6912437254587234
202 11 0.4304208584462734
203 10 3.7010709244643127
203 11 0.6548726082829731
204 10 3.7091167535100973
204 11 0.8386381647712637
205 10 3.7157041210437454
205 11 0.9890926839208397
206 10 3.7210974014282696
206 11 1.112274422689341
207 10 2.226219234163244
207 11 1.2131270806434642
208 11 1.2956982983438043
209 11 1.36330186519399
210 11 1.418650994113808
211 11 1.4639670224490258
212 11 1.5010686496003016
213 11 1.5314449021254226
214 11 1.5563148576857297
215 11 1.576676666535202
216 11 1.593347502418723
217 11 1.60699642117514
218 11 1.6181712005446478
219 11 1.627320338289786
220 11 1.6348110998740784
221 11 1.6409438696656367
221 12 0.0
222 11 1.6309377554981064
222 12 0.987796241065706
223 11 1.5882904280194567
223 12 1.502902893079848
224 11 1.6058067458887109
224 12 1.9246365528343838
225 11 1.654755269703377
225 12 2.2699228749709386
226 11 1.6473914913536967
226 12 2.552619393085051
227 11 1.6180403426707575
227 12 2.7840717297862825
228 11 1.62868742340984
228 12 2.9735688722774936
229 11 1.6438287593919299
229 12 3.1287159969778835
230 11 1.5640942314372486
230 12 3.25573970305241
231 11 1.4373615493025143
231 12 3.3152472165328923
232 11 1.6569432820872319
232 12 3.4509815425992483
233 11 1.6590850236735892
233 12 3.3084469590546335
234 11 1.6608177007385054
234 12 3.5474293585633445
235 11 1.661189774847181
235 12 3.491190947176189
236 11 1.6633807903216469
236 12 3.4613577745690582
237 11 1.6643486036113595
237 12 3.5040977747628963
238 11 1.6651273650338503
238 12 3.6728718908808253
239 11 1.6657648283217685
239 12 3.533449072660114
240 11 1.6662867274835078
240 12 2.167875834697273
241 11 1.6667140203589432
241 12 1.71370205510346
241 13 0.0
242 11 1.6670638576592487
242 12 1.6528761410143216
242 13 0.5974483811483405
243 11 1.667350280005492
243 12 1.6892674580093563
243 13 0.9090000428276057
244 11 1.6675847827343309
244 12 1.7769960181792195
244 13 1.1640769744790418
245 11 1.667776606226909
245 12 1.9257362151143618
245 13 1.3729163129944957
246 11 1.6678859871693752
246 12 2.183954992786532
246 13 1.5438994960386836
247 11 1.7233144673463683
247 12 2.6004994705842415
247 13 1.6838886870252108
248 11 1.697754074802557
248 12 2.984708713077077
248 13 1.7985021292986818
249 11 1.6555495753399423
249 12 3.154045026614627
249 13 1.8923397037004266
250 11 1.7113078556685435
250 12 3.2774733538265495
250 13 1.9691674054930117
251 11 1.66832782873221
251 12 3.3777294912736195
251 13 2.03206862071679
252 11 1.6684293447485825
252 12 0.5700303479899524
252 13 2.0835677600223077
253 11 1.6684688173436641
253 13 2.1257317082821143
254 11 1.3347525094587684
254 13 2.160252563914084
255 13 2.188515955960065
256 13 2.2116558686975702
257 13 2.2305119088110796
258 13 2.2097374053857437
259 13 2.141959665485905
260 13 2.2669742545054
261 13 2.236327864010177
261 14 0.0
262 13 2.22116211030438
262 14 1.181785088453377
263 13 2.2347510045184
263 14 1.7980512100807562
264 13 2.042427985618905
264 14 2.302607235074455
265 13 2.29403130307783
265 14 2.715702759214273
266 13 2.3208540810805993
266 14 3.0539167715364486
267 13 2.310206215268452
267 14 3.31983943308351
268 13 2.302180225909101
268 14 3.5547969747879833
269 13 2.3047571313295907
269 14 3.711946392742078
270 13 2.3068263818137464
270 14 3.886651682080416
271 13 2.3085204141016815
271 14 3.898699235376201
272 13 2.3099073611021983
272 14 3.9690540769183498
273 13 2.311042895742095
273 14 4.060339616487271
274 13 2.311972592502791
274 14 4.055221320704631
275 13 2.3127337637167207
275 14 4.277136669056442
276 13 2.31335695795733
276 14 4.3150099826490464
277 13 2.3138671863175095
277 14 4.405907756527593
278 13 2.31428492585557
278 14 4.437739605589646
279 13 2.3146269420606798
279 14 4.463801306518027
280 13 2.314906961245924
280 14 4.485138821220143
281 13 1.477739419364409
281 14 4.50260849681794
281 15 0.0
282 14 4.516911465090887
282 15 1.1218357218947717
283 14 3.7988063997130572
283 15 1.706839725211078
284 15 2.1858007623784466
285 15 2.577940764905425
286 15 2.8989978695685235
287 15 3.1618572166495236
288 15 3.3770681947735874
289 15 3.553268672187773
290 15 3.6959734400084185
291 15 3.763377390625893
292 15 3.770831039971147
293 15 3.895455521730679
294 15 3.9583781361955745
295 15 3.7431998004197156
296 15 4.111815402858336
297 15 4.177833378294197
298 15 4.210516109685435
299 15 4.235637656114303
300 15 4.256205307170506
301 15 4.273044666829197
301 16 0.0
302 15 4.286831569390052
302 16 1.2131465445789034
303 15 4.29811933106932
303 16 1.8488594270770384
304 15 2.217027385372418
304 16 2.368344091319395
305 16 2.7933136559393743
306 16 3.1407066325364736
307 16 3.420893670398255
308 16 3.6512708576112414
309 16 3.816752197073787
310 16 3.994175757003377
311 16 3.964748051352015
312 16 4.20996362168809
313 16 4.204360426342762
314 16 3.967455098466038
315 16 4.414376328133813
316 16 4.472168959531941
317 16 4.5319667025032855
318 16 4.564688732068832
319 16 4.591479159946834
320 16 4.613413301686471
321 16 4.631371455507734
321 17 0.0
322 16 4.646074352406632
322 17 0.7929615938659121
323 16 0.8850475550379907
323 17 1.2064675171715253
324 17 1.5450177155861224
325 17 1.822199097497199
326 17 2.049136024805576
327 17 2.2349362407518742
328 17 2.3870566279182204
329 17 2.511602290303478
330 17 2.6135716016029824
331 17 2.6928932616317343
332 17 2.771202425345906
333 17 2.8119149886435415
334 17 2.7851517840813553
335 17 2.8042212885483173
336 17 2.905666456595707
337 17 2.86538360856258
338 17 2.8655742268340405
339 17 2.6909058921887996
340 17 2.9832194116871658
341 17 3.001694476194168
341 18 0.0
342 17 3.0269102088859423
342 18 1.0053155322082703
343 17 3.0354736461118916
343 18 1.5295578298460066
344 17 3.0424812875567953
344 18 1.9587711397897953
345 17 3.048218596613598
345 18 2.310181278561217
346 17 3.0529159028859696
346 18 2.597891572398801
347 17 3.056761731161922
347 18 2.8334488414645014
348 17 3.059910428293842
348 18 3.0246143904519793
349 17 3.0624883640772738
349 18 3.2046125850751297
350 17 3.064598999388771
350 18 3.3225201284475183
351 17 3.065236874666488
351 18 3.4047659253933524
352 17 0.4084357188505931
352 18 3.4563575677772285
353 18 3.4157585485437423
354 18 3.5757906173262075
355 18 3.593346260078078
356 18 3.355430310142575
357 18 3.7281800137084162
358 18 3.7671164114081255
359 18 3.7942169761786
360 18 3.812917252018721
361 18 3.82822774148522
361 19 0.0
362 18 3.8407629139210337
362 19 1.0173735664275236
363 18 3.8510258424544346
363 19 1.5479037838503493
364 18 3.859428417878617
364 19 1.9822651982906336
365 18 3.8663078649071743
365 19 2.337890256232924
366 18 3.377752389630128
366 19 2.6290513582286112
367 19 2.867182764868064
368 19 3.0619420318367863
369 19 3.2227170185475913
370 19 3.3392707081784727
371 19 3.426750276835544
372 19 3.515613803897246
373 19 3.444433387444046
374 19 3.6341306080721902
375 19 3.622050416933451
376 19 3.429052340176323
377 19 3.816615777854858
378 19 3.8190334288470518
379 19 3.839656686580331
380 19 3.858594270684535
381 19 3.8740986024311237
381 20 0.0
382 19 3.8867924652073818
