timeStep VRUID x-position y-position
24 3 1.3172963702938751 29.000102997842745
25 3 1.70806903561802 28.552252339186015
26 3 1.8173299282738775 27.703011134023775
27 3 1.9325676260247653 26.67350663555208
28 3 2.061691825762876 25.519823953172455
29 3 2.2004755458690766 24.279501827070398
30 3 2.2820564087005026 22.97446061706484
31 3 2.286620045492146 21.623151859662205
32 3 2.2934484643264477 20.242257774786726
33 3 2.305893445517636 18.843952851606875
34 3 2.401533133274599 17.508563674932304
35 3 2.7652266808038135 16.465680209036712
36 3 3.6160484430580255 15.637929640464796
37 3 4.894670285222928 15.28503392377476
38 3 6.256906004851521 15.122902911090463
39 3 7.643608068689313 14.967310637034487
40 3 9.046486371232783 14.80991851180316
41 3 10.460646725636897 14.651237453567896
42 3 11.882683677437397 14.491704986149912
43 3 13.310208311910795 14.331510575344907
44 3 14.74156268751153 14.170864254846855
45 3 16.175598331030987 14.009985952921067
46 3 17.611487418878074 13.848792554126465
47 3 19.05112173773935 13.719930982043127
48 3 20.497265701169738 13.7156984612815
49 3 21.943811528393503 13.709842649969527
50 3 23.407936236090382 13.701688377321844
51 3 24.822968128698058 13.68321409361458
52 3 26.113859940630302 13.460066906464691
53 3 27.130499142131494 12.622212044823856
54 3 27.640402718930265 11.410425782916848
55 3 27.746643148016283 10.00843951237269
56 3 27.753509598781708 8.58656437042572
57 3 27.75651340671506 7.156406563986884
58 3 27.758350868783147 5.720478608409124
59 3 27.759643120400494 4.280525783672536
60 3 27.76062522191268 2.8377650783219015
61 3 27.761398077778342 1.8972760446046713
