timeStep VRUID x-position y-position
2 1 1.261085327237002 25.764118929520333
3 1 2.5353089726280236 25.691042776757616
4 1 5.191672553976233 25.53855145860534
5 1 8.247199584753458 25.363235733313495
6 1 11.615112165221845 25.29996634780235
7 1 15.187692933628718 25.306204575765822
8 1 18.995803244020234 24.53087321399626
9 1 21.547479122561423 20.78444489976981
10 1 22.609553142021532 17.52986355678037
11 1 19.743874349272645 12.306379602647482
12 1 21.002622952133834 9.503400075669672
13 1 21.383378834665386 5.67329195535914
14 1 21.3833631920348 1.7290291399792395
15 1 21.383608244170894 -1.5365972365038374
